MBLNR,BUDAT,WERKS,MATNR,MoveType,MENGE,DMBTR
5000000156,2026-02-06,4001,M003001,101,380.0,264.0
5000000157,2026-02-25,1001,M003002,101,33.0,78.1
5000000158,2026-02-04,3001,M003003,501,331.0,652.3
5000000159,2026-02-14,3001,M001002,261,350.0,1043.4
5000000160,2026-02-03,1002,M002004,261,64.0,50.6
5000000161,2026-02-18,1001,M001002,261,300.0,229.8
5000000162,2026-02-09,3001,M002001,261,244.0,316.5
5000000163,2026-02-12,5001,M001002,261,126.0,125.4
5000000164,2026-02-17,4001,M003004,261,389.0,67.5
5000000165,2026-02-02,3001,M003002,601,264.0,700.0
5000000166,2026-02-10,3001,M002004,261,456.0,793.5
5000000167,2026-02-19,4001,M001003,601,212.0,610.6
5000000168,2026-02-21,1001,M001001,261,366.0,722.0
5000000169,2026-02-20,1002,M002004,261,451.0,1235.8
5000000170,2026-02-23,3001,M003003,261,161.0,50.4
5000000171,2026-02-27,2001,M001001,101,292.0,256.2
5000000172,2026-02-01,3001,M003004,261,139.0,207.9
5000000173,2026-02-04,1002,M003004,261,44.0,39.0
5000000174,2026-02-15,3001,M001001,601,438.0,942.6
5000000175,2026-02-17,5001,M001002,501,247.0,113.4
5000000176,2026-02-02,2001,M003003,261,240.0,361.2
5000000177,2026-02-23,1002,M003001,261,221.0,226.5
5000000178,2026-02-20,5001,M001001,101,449.0,747.4
5000000179,2026-02-13,2001,M002001,261,339.0,897.0
5000000180,2026-02-07,4001,M002001,101,203.0,32.5
5000000181,2026-02-07,1001,M003003,501,183.0,386.8
5000000182,2026-02-21,4001,M003003,601,413.0,92.5
5000000183,2026-02-01,1001,M002002,261,154.0,25.6
5000000184,2026-02-23,3001,M002001,261,496.0,1064.2
5000000185,2026-02-11,3001,M002003,261,109.0,270.4
5000000186,2026-03-23,1002,M001001,261,415.0,610.5
5000000187,2026-03-12,2001,M001004,501,119.0,149.6
5000000188,2026-03-16,3001,M002001,261,198.0,360.8
5000000189,2026-03-12,2001,M002004,501,282.0,550.7
5000000190,2026-03-05,2001,M002002,261,166.0,448.6
5000000191,2026-03-16,1001,M002002,261,370.0,980.9
5000000192,2026-03-01,1002,M003001,261,218.0,607.7
5000000193,2026-03-07,2001,M001003,101,331.0,177.7
5000000194,2026-03-25,3001,M002003,601,170.0,101.8
5000000195,2026-03-18,1002,M001004,501,66.0,36.8
5000000196,2026-03-19,4001,M002003,261,115.0,152.3
5000000197,2026-03-01,4001,M002004,101,476.0,313.5
5000000198,2026-03-08,4001,M002002,261,488.0,843.6
5000000199,2026-03-21,4001,M001002,261,132.0,371.5
5000000200,2026-03-12,2001,M002003,501,312.0,75.3
5000000201,2026-03-27,2001,M003004,261,173.0,45.9
5000000202,2026-03-08,1001,M002004,101,104.0,156.0
5000000203,2026-03-24,2001,M003002,261,319.0,805.3
5000000204,2026-03-11,4001,M002004,261,40.0,42.0
5000000205,2026-03-02,1002,M003001,101,270.0,317.0
5000000206,2026-03-05,5001,M001001,261,252.0,100.1
5000000207,2026-03-25,1002,M001001,101,32.0,36.3
5000000208,2026-03-05,5001,M003002,261,28.0,36.2
5000000209,2026-03-26,4001,M002002,101,376.0,491.9
5000000210,2026-03-26,2001,M002002,601,303.0,825.1
5000000211,2026-03-26,4001,M002001,101,125.0,301.6
5000000212,2026-03-03,4001,M001001,261,484.0,643.7
5000000213,2026-03-12,2001,M002004,101,296.0,580.0
5000000214,2026-03-25,4001,M001003,101,354.0,388.0
5000000215,2026-03-28,5001,M003001,101,175.0,21.0
5000000216,2026-03-05,3001,M002001,101,327.0,36.4
5000000217,2026-03-27,3001,M001003,101,247.0,386.4
5000000218,2026-03-17,3001,M003003,261,348.0,141.7
5000000219,2026-03-15,4001,M002004,601,230.0,229.4
5000000220,2026-03-04,1002,M001004,261,36.0,76.7
5000000221,2026-03-27,2001,M003003,261,315.0,838.4
5000000222,2026-03-07,2001,M002001,261,225.0,42.4
5000000223,2026-03-16,2001,M003003,261,90.0,233.1
5000000224,2026-03-11,5001,M001004,261,247.0,531.5
5000000225,2026-03-12,5001,M002003,601,478.0,1068.4
5000000226,2026-03-23,4001,M001003,501,174.0,118.7
5000000227,2026-03-05,1002,M002004,261,478.0,424.4
5000000228,2026-03-12,2001,M003003,601,147.0,420.2
5000000229,2026-03-24,2001,M003004,261,338.0,967.1
5000000230,2026-03-01,2001,M002001,101,467.0,236.9
5000000231,2026-03-10,1001,M002004,261,257.0,48.3
5000000232,2026-03-18,5001,M003001,601,242.0,119.1
5000000233,2026-03-24,3001,M001004,601,455.0,1214.5
5000000234,2026-03-13,3001,M003003,261,237.0,78.6
5000000235,2026-03-03,5001,M003002,261,75.0,159.2
5000000236,2026-03-13,1002,M001001,501,74.0,81.5
5000000237,2026-03-03,1002,M003001,101,347.0,972.2
5000000238,2026-03-01,1001,M003001,101,497.0,1469.5
5000000239,2026-03-10,1002,M003003,261,375.0,788.6
5000000240,2026-03-17,4001,M003002,261,107.0,301.0
5000000241,2026-03-13,4001,M001001,261,296.0,681.6
5000000242,2026-03-27,2001,M003004,501,361.0,964.1
5000000243,2026-03-13,5001,M001001,101,152.0,234.9
5000000244,2026-03-23,1002,M002003,501,181.0,323.1
5000000245,2026-03-11,4001,M003002,101,50.0,44.8
5000000246,2026-03-08,4001,M003004,261,354.0,120.0
5000000247,2026-03-15,1001,M003001,261,370.0,636.8
5000000248,2026-03-28,5001,M002002,601,390.0,459.1
5000000249,2026-03-21,4001,M003004,601,162.0,459.2
5000000250,2026-03-07,2001,M003001,261,280.0,519.9
5000000251,2026-03-14,3001,M003004,261,249.0,41.4
5000000252,2026-03-18,2001,M003001,601,92.0,178.6
5000000253,2026-03-05,1002,M001003,261,346.0,285.6
5000000254,2026-03-16,4001,M001003,501,263.0,348.7
5000000255,2026-03-23,3001,M002001,101,138.0,62.0
5000000256,2026-03-03,1002,M002004,261,78.0,18.4
5000000257,2026-03-19,3001,M003001,261,317.0,612.9
5000000258,2026-03-17,1002,M003003,501,308.0,339.1
5000000259,2026-03-07,4001,M003001,261,485.0,766.1
5000000260,2026-03-19,5001,M003004,261,181.0,24.8
5000000261,2026-03-12,5001,M001002,261,69.0,173.2
5000000262,2026-03-08,5001,M001004,501,284.0,164.8
5000000263,2026-03-05,3001,M003001,101,397.0,236.9
5000000264,2026-03-12,5001,M001003,601,219.0,319.8
5000000265,2026-04-11,4001,M001001,501,397.0,679.5
5000000266,2026-04-03,3001,M001001,601,438.0,712.9
5000000267,2026-04-03,2001,M001004,101,224.0,411.2
5000000268,2026-04-06,5001,M003002,261,464.0,219.9
5000000269,2026-04-26,3001,M003003,101,418.0,562.1
5000000270,2026-04-24,2001,M002001,261,114.0,65.6
5000000271,2026-04-16,1001,M003001,261,387.0,708.3
5000000272,2026-04-18,1002,M001002,501,91.0,96.9
5000000273,2026-04-08,4001,M003001,101,115.0,108.5
5000000274,2026-04-15,2001,M002001,261,107.0,162.3
5000000275,2026-04-14,1001,M002004,101,205.0,472.3
5000000276,2026-04-27,1002,M003004,261,343.0,54.3
5000000277,2026-04-13,1002,M003003,261,35.0,50.3
5000000278,2026-04-14,1001,M003002,261,193.0,566.1
5000000279,2026-04-11,3001,M003004,501,29.0,14.0
5000000280,2026-04-07,4001,M003001,601,125.0,169.6
5000000281,2026-04-06,1001,M001001,101,173.0,166.5
5000000282,2026-04-23,1002,M003003,261,96.0,192.3
5000000283,2026-04-14,1002,M001002,601,476.0,8.2
5000000284,2026-04-20,5001,M002002,261,325.0,479.3
5000000285,2026-04-24,1002,M001003,261,153.0,346.5
5000000286,2026-04-11,1002,M001004,261,323.0,326.6
5000000287,2026-04-04,4001,M001002,601,326.0,162.1
5000000288,2026-04-02,3001,M001003,601,396.0,1039.1
5000000289,2026-04-24,1002,M003004,601,161.0,102.3
5000000290,2026-04-27,4001,M002001,261,475.0,734.8
5000000291,2026-04-21,4001,M002004,101,363.0,528.8
5000000292,2026-04-15,5001,M002004,261,377.0,788.5
5000000293,2026-04-04,1002,M002001,601,345.0,967.2
5000000294,2026-04-02,1001,M001004,261,220.0,426.1
5000000295,2026-04-10,3001,M002001,101,12.0,33.4
5000000296,2026-04-04,1001,M003003,101,423.0,307.3
5000000297,2026-04-25,5001,M002002,101,208.0,386.7
5000000298,2026-04-12,5001,M002002,101,88.0,123.2
5000000299,2026-04-14,4001,M003003,261,197.0,285.6
5000000300,2026-04-03,4001,M001001,601,454.0,369.4
5000000301,2026-04-10,2001,M003001,261,56.0,18.0
5000000302,2026-04-12,1001,M003004,101,374.0,1071.4
5000000303,2026-04-21,2001,M001004,261,393.0,998.9
5000000304,2026-04-18,4001,M001003,261,49.0,128.7
5000000305,2026-04-21,2001,M001003,101,267.0,551.4
5000000306,2026-04-01,4001,M003001,101,184.0,438.1
5000000307,2026-04-24,2001,M001004,261,325.0,881.9
5000000308,2026-04-27,1002,M001003,261,226.0,493.2
5000000309,2026-04-16,5001,M001001,501,303.0,541.7
5000000310,2026-04-22,2001,M003003,501,160.0,313.2
5000000311,2026-04-07,5001,M001001,101,403.0,485.3
5000000312,2026-04-14,5001,M003004,501,311.0,858.3
5000000313,2026-04-26,2001,M002003,601,96.0,246.9
5000000314,2026-04-03,1002,M002003,261,29.0,43.7
5000000315,2026-04-28,1002,M002004,261,60.0,17.7
5000000316,2026-04-15,5001,M002003,101,242.0,250.6
5000000317,2026-04-20,3001,M003004,261,228.0,491.6
5000000318,2026-04-17,1002,M003003,601,290.0,617.4
5000000319,2026-04-18,3001,M001002,101,273.0,291.3
5000000320,2026-04-10,1002,M001004,501,346.0,185.2
5000000321,2026-04-20,2001,M002004,501,387.0,612.3
5000000322,2026-04-24,1002,M002004,261,231.0,59.3
5000000323,2026-04-11,4001,M001002,261,230.0,652.4
5000000324,2026-04-23,3001,M002003,501,202.0,278.3
5000000325,2026-04-27,5001,M003002,101,113.0,80.3
5000000326,2026-04-08,5001,M002004,501,165.0,132.4
5000000327,2026-04-24,1002,M001002,101,267.0,105.9
5000000328,2026-04-22,2001,M001003,501,143.0,392.5
5000000329,2026-04-27,4001,M003004,101,219.0,203.2
5000000330,2026-04-24,3001,M003001,501,62.0,22.4
5000000331,2026-04-08,1002,M001004,261,41.0,102.6
5000000332,2026-04-05,1001,M003001,501,116.0,269.6
5000000333,2026-04-18,1001,M001001,261,127.0,120.6
5000000334,2026-04-14,4001,M002002,261,23.0,56.9
5000000335,2026-04-04,2001,M003002,261,369.0,669.0
5000000336,2026-04-04,3001,M002001,501,318.0,255.6
5000000337,2026-04-23,3001,M002001,101,384.0,544.1
5000000338,2026-04-15,4001,M003004,261,338.0,993.3
5000000339,2026-04-06,5001,M002002,261,310.0,560.7
5000000340,2026-04-23,5001,M001003,101,496.0,109.9
5000000341,2026-04-25,3001,M003002,601,321.0,659.7
5000000342,2026-04-06,4001,M002003,261,195.0,335.7
5000000343,2026-04-28,1001,M003002,261,169.0,441.8
5000000344,2026-04-16,4001,M003003,101,81.0,90.9
5000000345,2026-05-14,4001,M002002,501,483.0,666.0
5000000346,2026-05-02,3001,M001004,101,97.0,109.4
5000000347,2026-05-17,4001,M002002,261,22.0,47.7
5000000348,2026-05-09,4001,M001004,501,479.0,568.8
5000000349,2026-05-07,1002,M003004,601,346.0,870.3
5000000350,2026-05-19,1002,M003003,261,29.0,78.6
5000000351,2026-05-10,1002,M003002,261,500.0,510.1
5000000352,2026-05-19,3001,M002003,501,84.0,195.3
5000000353,2026-05-01,5001,M002004,261,270.0,380.9
5000000354,2026-05-27,1002,M002004,261,409.0,73.6
5000000355,2026-05-19,2001,M003003,601,120.0,325.2
5000000356,2026-05-20,1001,M002001,101,223.0,70.3
5000000357,2026-05-26,1002,M001003,261,289.0,562.9
5000000358,2026-05-25,1002,M001003,261,132.0,111.1
5000000359,2026-05-26,1001,M003004,601,401.0,685.5
5000000360,2026-05-17,3001,M001002,101,28.0,67.4
5000000361,2026-05-01,2001,M001002,601,319.0,536.9
5000000362,2026-05-10,3001,M002003,261,378.0,147.8
5000000363,2026-05-07,4001,M003001,101,448.0,539.3
5000000364,2026-05-21,1001,M001001,101,198.0,484.8
5000000365,2026-05-18,1002,M001004,261,404.0,34.6
5000000366,2026-05-03,3001,M001004,261,274.0,521.5
5000000367,2026-05-14,2001,M001001,501,365.0,285.7
5000000368,2026-05-02,5001,M001002,261,261.0,589.7
5000000369,2026-05-16,1001,M002002,101,453.0,688.2
5000000370,2026-05-20,2001,M003001,261,426.0,344.5
5000000371,2026-05-18,2001,M003002,261,71.0,86.1
5000000372,2026-05-15,1002,M002003,501,423.0,40.8
5000000373,2026-05-24,4001,M001003,261,229.0,666.4
5000000374,2026-05-22,2001,M001002,101,365.0,857.5
5000000375,2026-05-14,4001,M002004,261,115.0,263.5
5000000376,2026-05-04,5001,M002003,261,109.0,177.0
5000000377,2026-05-20,3001,M003004,261,341.0,557.1
5000000378,2026-05-22,3001,M001003,261,229.0,289.9
5000000379,2026-05-19,2001,M003003,261,284.0,15.4
5000000380,2026-05-03,2001,M002001,101,458.0,713.5
5000000381,2026-05-22,1001,M002004,101,313.0,596.4
5000000382,2026-05-23,1002,M003004,261,289.0,288.2
5000000383,2026-05-04,2001,M001002,261,471.0,782.7
5000000384,2026-05-21,2001,M002001,101,469.0,47.9
5000000385,2026-05-15,2001,M002002,261,22.0,57.2
5000000386,2026-05-25,1002,M001003,601,62.0,183.2
5000000387,2026-05-02,5001,M003001,261,95.0,130.5
5000000388,2026-05-13,5001,M002002,101,101.0,105.8
5000000389,2026-05-11,2001,M003004,501,427.0,498.8
5000000390,2026-05-09,4001,M002004,261,274.0,670.5
5000000391,2026-05-24,4001,M001004,261,347.0,1000.7
5000000392,2026-05-02,3001,M003002,101,311.0,827.1
5000000393,2026-05-03,3001,M002003,501,215.0,449.7
5000000394,2026-05-27,2001,M002004,261,280.0,76.6
5000000395,2026-05-19,1001,M002002,261,255.0,171.8
5000000396,2026-05-21,3001,M001003,501,53.0,68.1
5000000397,2026-05-16,1001,M003002,101,101.0,17.3
5000000398,2026-05-27,1001,M003002,501,166.0,103.9
5000000399,2026-05-26,1001,M003004,261,464.0,310.2
5000000400,2026-05-28,1002,M003001,101,34.0,34.6
5000000401,2026-05-04,4001,M001003,601,372.0,150.3
5000000402,2026-05-19,5001,M003003,501,194.0,387.1
5000000403,2026-05-22,1002,M003001,601,236.0,77.8
5000000404,2026-05-08,4001,M001002,261,443.0,1281.0
5000000405,2026-05-05,2001,M003003,501,103.0,44.1
5000000406,2026-05-15,2001,M002001,101,212.0,443.9
5000000407,2026-05-23,2001,M001002,601,297.0,202.3
5000000408,2026-05-23,4001,M001002,261,314.0,105.0
5000000409,2026-05-26,2001,M001001,601,51.0,94.2
5000000410,2026-05-10,1002,M001002,261,101.0,29.4
5000000411,2026-05-15,3001,M003004,261,346.0,823.5
5000000412,2026-05-03,3001,M001002,601,304.0,567.6
5000000413,2026-05-08,1002,M002002,101,353.0,520.5
5000000414,2026-05-24,2001,M002002,261,337.0,469.3
5000000415,2026-05-01,1001,M001004,101,315.0,471.4
5000000416,2026-05-25,5001,M001002,101,383.0,337.0
5000000417,2026-05-07,4001,M001004,101,149.0,54.3
5000000418,2026-05-24,4001,M002003,261,52.0,48.5
5000000419,2026-05-14,5001,M003003,261,314.0,516.4
5000000420,2026-05-02,2001,M002002,261,317.0,686.6
5000000421,2026-05-11,2001,M002003,101,484.0,1266.1
5000000422,2026-05-20,2001,M003004,101,120.0,237.1
5000000423,2026-05-07,5001,M001001,261,134.0,349.0
5000000424,2026-05-02,1002,M002004,501,123.0,93.8
