EBELN,LIFNR,SupplierName,WERKS,MATNR,MaterialDesc,BEDAT,EINDT,MENGE,NETWR_F,DeliveryStatus
4500000030,S200006,三花智控,4001,M003003,环氧树脂 EP-8001,2026-01-19,2026-01-28,3067.0,188.7,已交付
4500000031,S200008,宁德时代,1001,M003004,绝缘漆 H 级,2026-01-12,2026-01-22,9664.0,245.1,已交付
4500000032,S200003,金风科技,3001,M003001,硅钢片 35Q155,2026-01-19,2026-01-28,657.0,285.7,已交付
4500000033,S200010,京东方,1002,M003001,硅钢片 35Q155,2026-01-05,2026-01-28,2869.0,30.3,在途
4500000034,S200002,中国铝业,2001,M003002,电解铜 Cu99.99%,2026-01-11,2026-01-28,7786.0,126.5,在途
4500000035,S200007,汇川技术,4001,M003002,电解铜 Cu99.99%,2026-01-12,2026-01-24,1437.0,194.5,已交付
4500000036,S200006,三花智控,4001,M003002,电解铜 Cu99.99%,2026-01-17,2026-01-28,122.0,198.2,已交付
4500000037,S200008,宁德时代,1001,M003002,电解铜 Cu99.99%,2026-01-09,2026-01-21,3165.0,221.9,逾期
4500000038,S200001,宝钢股份,3001,M003001,硅钢片 35Q155,2026-01-20,2026-01-28,7053.0,283.5,逾期
4500000039,S200004,海螺水泥,1002,M003004,绝缘漆 H 级,2026-01-13,2026-01-25,9921.0,208.4,已交付
4500000040,S200007,汇川技术,1001,M003003,环氧树脂 EP-8001,2026-01-08,2026-01-28,8883.0,250.5,在途
4500000041,S200010,京东方,1001,M003003,环氧树脂 EP-8001,2026-01-11,2026-01-28,2009.0,204.4,在途
4500000042,S200008,宁德时代,3001,M003003,环氧树脂 EP-8001,2026-01-19,2026-01-28,4782.0,78.0,已交付
4500000043,S200005,万华化学,1002,M003001,硅钢片 35Q155,2026-01-08,2026-01-22,3861.0,174.4,已交付
4500000044,S200009,立讯精密,1002,M003003,环氧树脂 EP-8001,2026-01-02,2026-01-21,6907.0,141.9,逾期
4500000045,S200004,海螺水泥,5001,M003001,硅钢片 35Q155,2026-01-10,2026-01-23,5477.0,46.0,逾期
4500000046,S200001,宝钢股份,1001,M003004,绝缘漆 H 级,2026-02-15,2026-02-28,9272.0,143.6,已交付
4500000047,S200009,立讯精密,2001,M003004,绝缘漆 H 级,2026-02-07,2026-02-27,7572.0,93.3,已交付
4500000048,S200001,宝钢股份,1001,M003001,硅钢片 35Q155,2026-02-08,2026-02-21,9190.0,203.6,已交付
4500000049,S200006,三花智控,3001,M003001,硅钢片 35Q155,2026-02-13,2026-02-28,401.0,162.7,逾期
4500000050,S200009,立讯精密,4001,M003002,电解铜 Cu99.99%,2026-02-17,2026-02-28,777.0,184.4,逾期
4500000051,S200006,三花智控,5001,M003003,环氧树脂 EP-8001,2026-02-11,2026-02-20,2192.0,40.0,已交付
4500000052,S200007,汇川技术,3001,M003001,硅钢片 35Q155,2026-02-05,2026-02-14,2224.0,113.3,已交付
4500000053,S200010,京东方,1001,M003002,电解铜 Cu99.99%,2026-02-16,2026-02-25,4107.0,90.7,已交付
4500000054,S200003,金风科技,1001,M003003,环氧树脂 EP-8001,2026-02-11,2026-02-28,4075.0,110.4,已交付
4500000055,S200001,宝钢股份,4001,M003001,硅钢片 35Q155,2026-02-11,2026-02-28,1543.0,210.8,已交付
4500000056,S200009,立讯精密,3001,M003002,电解铜 Cu99.99%,2026-02-18,2026-02-28,9283.0,35.0,已交付
4500000057,S200003,金风科技,2001,M003002,电解铜 Cu99.99%,2026-02-03,2026-02-28,5274.0,116.5,逾期
4500000058,S200008,宁德时代,1002,M003004,绝缘漆 H 级,2026-02-14,2026-02-28,9918.0,131.1,在途
4500000059,S200005,万华化学,1002,M003002,电解铜 Cu99.99%,2026-02-12,2026-02-25,7726.0,7.3,逾期
4500000060,S200002,中国铝业,5001,M003001,硅钢片 35Q155,2026-02-07,2026-02-23,6031.0,182.9,已交付
4500000061,S200003,金风科技,2001,M003004,绝缘漆 H 级,2026-02-04,2026-02-28,4402.0,152.9,已交付
4500000062,S200004,海螺水泥,1001,M003004,绝缘漆 H 级,2026-02-09,2026-02-20,7499.0,213.4,已交付
4500000063,S200007,汇川技术,3001,M003001,硅钢片 35Q155,2026-02-17,2026-02-28,4593.0,87.3,在途
4500000064,S200001,宝钢股份,1002,M003001,硅钢片 35Q155,2026-02-08,2026-02-27,7430.0,291.3,在途
4500000065,S200001,宝钢股份,2001,M003003,环氧树脂 EP-8001,2026-02-09,2026-02-24,434.0,54.2,逾期
4500000066,S200010,京东方,5001,M003003,环氧树脂 EP-8001,2026-02-08,2026-02-16,5049.0,262.6,已交付
4500000067,S200010,京东方,3001,M003003,环氧树脂 EP-8001,2026-02-17,2026-02-28,6904.0,46.3,已交付
4500000068,S200002,中国铝业,1002,M003002,电解铜 Cu99.99%,2026-02-13,2026-02-20,2571.0,163.4,已交付
4500000069,S200009,立讯精密,4001,M003003,环氧树脂 EP-8001,2026-02-16,2026-02-28,7673.0,237.2,在途
4500000070,S200007,汇川技术,2001,M003002,电解铜 Cu99.99%,2026-02-04,2026-02-18,8063.0,204.1,已交付
4500000071,S200009,立讯精密,1002,M003001,硅钢片 35Q155,2026-02-14,2026-02-28,9281.0,71.0,已交付
4500000072,S200003,金风科技,4001,M003003,环氧树脂 EP-8001,2026-02-07,2026-02-28,7309.0,90.8,已交付
4500000073,S200009,立讯精密,3001,M003002,电解铜 Cu99.99%,2026-02-13,2026-02-28,8727.0,39.9,逾期
4500000074,S200007,汇川技术,1002,M003003,环氧树脂 EP-8001,2026-02-10,2026-02-23,850.0,81.1,已交付
4500000075,S200003,金风科技,3001,M003003,环氧树脂 EP-8001,2026-02-17,2026-02-28,1866.0,84.4,已交付
4500000076,S200008,宁德时代,1002,M003003,环氧树脂 EP-8001,2026-02-12,2026-02-25,827.0,102.6,在途
4500000077,S200006,三花智控,4001,M003003,环氧树脂 EP-8001,2026-02-14,2026-02-23,9389.0,282.4,已交付
4500000078,S200010,京东方,4001,M003004,绝缘漆 H 级,2026-02-19,2026-02-28,8063.0,124.4,在途
4500000079,S200001,宝钢股份,5001,M003001,硅钢片 35Q155,2026-03-15,2026-03-28,5433.0,38.3,已交付
4500000080,S200007,汇川技术,1001,M003004,绝缘漆 H 级,2026-03-11,2026-03-28,2181.0,85.0,已交付
4500000081,S200001,宝钢股份,5001,M003003,环氧树脂 EP-8001,2026-03-08,2026-03-15,4951.0,173.9,已交付
4500000082,S200001,宝钢股份,2001,M003002,电解铜 Cu99.99%,2026-03-11,2026-03-28,9965.0,110.4,已交付
4500000083,S200002,中国铝业,5001,M003001,硅钢片 35Q155,2026-03-09,2026-03-21,2393.0,31.7,已交付
4500000084,S200006,三花智控,3001,M003003,环氧树脂 EP-8001,2026-03-15,2026-03-28,1393.0,246.7,已交付
4500000085,S200008,宁德时代,4001,M003002,电解铜 Cu99.99%,2026-03-18,2026-03-28,4771.0,149.6,已交付
4500000086,S200008,宁德时代,2001,M003001,硅钢片 35Q155,2026-03-14,2026-03-28,8865.0,204.0,在途
4500000087,S200007,汇川技术,4001,M003004,绝缘漆 H 级,2026-03-13,2026-03-27,3880.0,79.1,在途
4500000088,S200004,海螺水泥,4001,M003002,电解铜 Cu99.99%,2026-03-03,2026-03-21,3904.0,292.5,已交付
4500000089,S200005,万华化学,2001,M003003,环氧树脂 EP-8001,2026-03-09,2026-03-22,4866.0,152.7,逾期
4500000090,S200003,金风科技,1002,M003003,环氧树脂 EP-8001,2026-03-01,2026-03-23,603.0,222.1,已交付
4500000091,S200008,宁德时代,4001,M003001,硅钢片 35Q155,2026-03-07,2026-03-28,325.0,264.6,在途
4500000092,S200001,宝钢股份,4001,M003002,电解铜 Cu99.99%,2026-03-19,2026-03-28,9753.0,57.1,已交付
4500000093,S200007,汇川技术,4001,M003004,绝缘漆 H 级,2026-03-02,2026-03-23,7484.0,181.0,已交付
4500000094,S200006,三花智控,5001,M003001,硅钢片 35Q155,2026-03-09,2026-03-26,4199.0,121.6,已交付
4500000095,S200001,宝钢股份,3001,M003004,绝缘漆 H 级,2026-03-17,2026-03-28,1485.0,289.4,已交付
4500000096,S200005,万华化学,5001,M003003,环氧树脂 EP-8001,2026-03-15,2026-03-28,9076.0,290.3,已交付
4500000097,S200003,金风科技,1001,M003001,硅钢片 35Q155,2026-03-03,2026-03-24,7048.0,57.0,已交付
4500000098,S200008,宁德时代,4001,M003002,电解铜 Cu99.99%,2026-03-14,2026-03-28,3185.0,146.0,逾期
4500000099,S200006,三花智控,2001,M003004,绝缘漆 H 级,2026-03-08,2026-03-26,643.0,156.2,已交付
4500000100,S200005,万华化学,5001,M003003,环氧树脂 EP-8001,2026-03-11,2026-03-19,7461.0,221.2,已交付
4500000101,S200005,万华化学,5001,M003004,绝缘漆 H 级,2026-04-08,2026-04-22,7311.0,195.0,在途
4500000102,S200004,海螺水泥,2001,M003004,绝缘漆 H 级,2026-04-15,2026-04-26,8303.0,153.6,已交付
4500000103,S200008,宁德时代,4001,M003002,电解铜 Cu99.99%,2026-04-06,2026-04-18,781.0,165.7,逾期
4500000104,S200009,立讯精密,1002,M003001,硅钢片 35Q155,2026-04-08,2026-04-27,9801.0,24.5,已交付
4500000105,S200007,汇川技术,1002,M003004,绝缘漆 H 级,2026-04-12,2026-04-28,8618.0,95.6,已交付
4500000106,S200004,海螺水泥,1001,M003001,硅钢片 35Q155,2026-04-10,2026-04-28,6543.0,21.5,已交付
4500000107,S200010,京东方,3001,M003002,电解铜 Cu99.99%,2026-04-09,2026-04-28,5556.0,20.2,已交付
4500000108,S200007,汇川技术,3001,M003001,硅钢片 35Q155,2026-04-07,2026-04-15,958.0,84.2,已交付
4500000109,S200002,中国铝业,2001,M003004,绝缘漆 H 级,2026-04-19,2026-04-28,3790.0,143.7,逾期
4500000110,S200007,汇川技术,3001,M003004,绝缘漆 H 级,2026-04-06,2026-04-28,2152.0,201.3,逾期
4500000111,S200003,金风科技,2001,M003003,环氧树脂 EP-8001,2026-04-04,2026-04-15,2079.0,266.8,已交付
4500000112,S200010,京东方,1002,M003001,硅钢片 35Q155,2026-04-15,2026-04-28,9878.0,262.9,已交付
4500000113,S200005,万华化学,3001,M003004,绝缘漆 H 级,2026-04-08,2026-04-28,7161.0,88.9,在途
4500000114,S200009,立讯精密,5001,M003002,电解铜 Cu99.99%,2026-04-18,2026-04-28,3515.0,172.2,已交付
4500000115,S200008,宁德时代,4001,M003004,绝缘漆 H 级,2026-04-08,2026-04-28,7944.0,132.4,已交付
4500000116,S200007,汇川技术,5001,M003004,绝缘漆 H 级,2026-04-08,2026-04-15,1092.0,114.0,逾期
4500000117,S200009,立讯精密,2001,M003002,电解铜 Cu99.99%,2026-04-14,2026-04-28,9635.0,105.9,已交付
4500000118,S200010,京东方,3001,M003004,绝缘漆 H 级,2026-04-04,2026-04-21,2171.0,298.8,已交付
4500000119,S200009,立讯精密,3001,M003002,电解铜 Cu99.99%,2026-04-18,2026-04-25,5723.0,296.8,在途
4500000120,S200007,汇川技术,1002,M003004,绝缘漆 H 级,2026-04-01,2026-04-13,1929.0,222.9,逾期
4500000121,S200007,汇川技术,4001,M003002,电解铜 Cu99.99%,2026-04-03,2026-04-17,1218.0,36.6,逾期
4500000122,S200005,万华化学,2001,M003001,硅钢片 35Q155,2026-04-16,2026-04-28,4626.0,269.4,已交付
4500000123,S200010,京东方,5001,M003004,绝缘漆 H 级,2026-04-14,2026-04-28,1928.0,275.9,在途
4500000124,S200005,万华化学,5001,M003002,电解铜 Cu99.99%,2026-05-06,2026-05-20,116.0,83.2,已交付
4500000125,S200002,中国铝业,1002,M003004,绝缘漆 H 级,2026-05-15,2026-05-28,4862.0,186.7,已交付
4500000126,S200003,金风科技,5001,M003001,硅钢片 35Q155,2026-05-02,2026-05-15,7813.0,126.9,已交付
4500000127,S200006,三花智控,5001,M003003,环氧树脂 EP-8001,2026-05-08,2026-05-17,8617.0,11.3,逾期
4500000128,S200002,中国铝业,4001,M003001,硅钢片 35Q155,2026-05-03,2026-05-16,899.0,123.8,已交付
4500000129,S200008,宁德时代,3001,M003002,电解铜 Cu99.99%,2026-05-09,2026-05-28,4226.0,189.0,在途
4500000130,S200002,中国铝业,1002,M003001,硅钢片 35Q155,2026-05-05,2026-05-14,7266.0,117.5,已交付
4500000131,S200010,京东方,2001,M003001,硅钢片 35Q155,2026-05-05,2026-05-14,1160.0,24.1,已交付
4500000132,S200004,海螺水泥,5001,M003003,环氧树脂 EP-8001,2026-05-06,2026-05-23,3598.0,182.5,在途
4500000133,S200003,金风科技,1001,M003003,环氧树脂 EP-8001,2026-05-04,2026-05-13,3538.0,56.7,已交付
4500000134,S200004,海螺水泥,1002,M003001,硅钢片 35Q155,2026-05-02,2026-05-23,2115.0,76.4,已交付
4500000135,S200002,中国铝业,1001,M003004,绝缘漆 H 级,2026-05-08,2026-05-28,4293.0,228.8,已交付
4500000136,S200006,三花智控,1002,M003001,硅钢片 35Q155,2026-05-14,2026-05-28,5003.0,83.6,已交付
4500000137,S200001,宝钢股份,3001,M003003,环氧树脂 EP-8001,2026-05-02,2026-05-18,8239.0,283.3,逾期
4500000138,S200008,宁德时代,1002,M003002,电解铜 Cu99.99%,2026-05-16,2026-05-28,3409.0,106.1,已交付
4500000139,S200002,中国铝业,4001,M003001,硅钢片 35Q155,2026-05-19,2026-05-28,9782.0,25.0,在途
4500000140,S200004,海螺水泥,4001,M003001,硅钢片 35Q155,2026-05-03,2026-05-10,1867.0,213.2,已交付
4500000141,S200007,汇川技术,4001,M003003,环氧树脂 EP-8001,2026-05-05,2026-05-14,8845.0,153.1,逾期
4500000142,S200006,三花智控,1002,M003001,硅钢片 35Q155,2026-05-17,2026-05-28,691.0,285.1,在途
4500000143,S200004,海螺水泥,3001,M003004,绝缘漆 H 级,2026-05-20,2026-05-28,8669.0,125.5,已交付
4500000144,S200008,宁德时代,1001,M003001,硅钢片 35Q155,2026-05-17,2026-05-28,130.0,163.7,已交付
4500000145,S200009,立讯精密,4001,M003004,绝缘漆 H 级,2026-05-19,2026-05-28,1712.0,95.6,在途
4500000146,S200005,万华化学,2001,M003003,环氧树脂 EP-8001,2026-05-01,2026-05-25,5693.0,271.0,逾期
4500000147,S200007,汇川技术,1002,M003003,环氧树脂 EP-8001,2026-05-06,2026-05-26,2552.0,120.1,已交付
4500000148,S200010,京东方,2001,M003004,绝缘漆 H 级,2026-05-15,2026-05-28,6557.0,69.9,已交付
4500000149,S200001,宝钢股份,1001,M003004,绝缘漆 H 级,2026-05-03,2026-05-24,1985.0,225.0,逾期
4500000150,S200007,汇川技术,5001,M003004,绝缘漆 H 级,2026-05-08,2026-05-28,7159.0,124.0,已交付
4500000151,S200005,万华化学,1001,M003002,电解铜 Cu99.99%,2026-05-14,2026-05-21,4632.0,55.8,已交付
