VBELN,KUNNR,CustomerName,OfficeCode,ERDAT,NETWR_F,Status
4500000088,C100009,天津大港石化,BJG,2026-01-17,215.7,新建
4500000089,C100007,佛山陶瓷集团,XMN,2026-01-07,297.3,完成
4500000090,C100012,重庆长安实业,CDU,2026-02-22,286.2,完成
4500000091,C100014,兰州石化机械,URM,2026-02-02,132.7,完成
4500000092,C100013,西安西电变压器,XAN,2026-02-05,87.4,履约中
4500000093,C100004,苏州汽配股份,SHA,2026-02-01,281.1,新建
4500000094,C100005,深圳华联电子,SZX,2026-02-22,332.6,新建
4500000095,C100008,北京中科精密,TJN,2026-02-23,183.7,新建
4500000096,C100017,长春一汽配件,SHY,2026-02-11,185.1,新建
4500000097,C100006,广州白云重工,XMN,2026-02-16,399.7,完成
4500000098,C100020,厦门金龙客车,XMN,2026-02-27,466.8,完成
4500000099,C100013,西安西电变压器,URM,2026-02-13,99.7,完成
4500000100,C100011,成都飞机工业,CDU,2026-02-20,437.5,取消
4500000101,C100008,北京中科精密,TJN,2026-02-15,102.2,完成
4500000102,C100018,青岛海尔智家,BJG,2026-02-11,17.6,完成
4500000103,C100003,无锡新能科技,NJG,2026-02-22,11.4,履约中
4500000104,C100011,成都飞机工业,CDU,2026-02-19,274.9,完成
4500000105,C100005,深圳华联电子,SZX,2026-02-26,194.0,完成
4500000106,C100002,宁波港务实业,NJG,2026-02-08,222.9,完成
4500000107,C100018,青岛海尔智家,TJN,2026-02-03,490.7,取消
4500000108,C100019,杭州西子电梯,HZH,2026-02-19,102.7,新建
4500000109,C100017,长春一汽配件,SHY,2026-02-20,88.6,完成
4500000110,C100020,厦门金龙客车,GZH,2026-02-06,346.8,履约中
4500000111,C100015,沈阳重型机床,DLN,2026-02-18,334.9,完成
4500000112,C100007,佛山陶瓷集团,XMN,2026-02-04,372.1,完成
4500000113,C100017,长春一汽配件,DLN,2026-02-25,268.4,新建
4500000114,C100001,上海张江工业集团,HZH,2026-02-02,79.8,履约中
4500000115,C100015,沈阳重型机床,DLN,2026-02-28,136.0,取消
4500000116,C100017,长春一汽配件,SHY,2026-02-27,195.6,新建
4500000117,C100017,长春一汽配件,DLN,2026-02-18,151.2,履约中
4500000118,C100005,深圳华联电子,GZH,2026-02-25,351.0,取消
4500000119,C100010,唐山钢铁集团,TJN,2026-02-14,249.4,完成
4500000120,C100018,青岛海尔智家,TJN,2026-02-04,175.9,履约中
4500000121,C100016,大连船舶重工,DLN,2026-02-04,442.5,完成
4500000122,C100004,苏州汽配股份,NJG,2026-02-04,493.6,新建
4500000123,C100007,佛山陶瓷集团,XMN,2026-02-07,383.5,完成
4500000124,C100008,北京中科精密,TJN,2026-02-17,396.3,履约中
4500000125,C100011,成都飞机工业,CQG,2026-03-11,404.9,完成
4500000126,C100007,佛山陶瓷集团,GZH,2026-03-21,499.1,完成
4500000127,C100012,重庆长安实业,CQG,2026-03-25,204.9,完成
4500000128,C100006,广州白云重工,XMN,2026-03-28,380.6,新建
4500000129,C100007,佛山陶瓷集团,GZH,2026-03-04,193.7,履约中
4500000130,C100016,大连船舶重工,DLN,2026-03-06,340.2,履约中
4500000131,C100020,厦门金龙客车,SZX,2026-03-16,462.7,完成
4500000132,C100001,上海张江工业集团,NJG,2026-03-19,160.9,完成
4500000133,C100010,唐山钢铁集团,BJG,2026-03-06,88.4,履约中
4500000134,C100009,天津大港石化,TJN,2026-03-17,272.7,完成
4500000135,C100001,上海张江工业集团,NJG,2026-03-11,44.4,取消
4500000136,C100009,天津大港石化,BJG,2026-03-20,390.9,履约中
4500000137,C100010,唐山钢铁集团,TJN,2026-03-25,15.1,取消
4500000138,C100018,青岛海尔智家,BJG,2026-03-25,464.6,完成
4500000139,C100016,大连船舶重工,DLN,2026-03-27,173.5,完成
4500000140,C100010,唐山钢铁集团,BJG,2026-03-13,111.8,履约中
4500000141,C100013,西安西电变压器,URM,2026-03-06,261.9,履约中
4500000142,C100019,杭州西子电梯,NJG,2026-03-20,229.9,完成
4500000143,C100019,杭州西子电梯,NJG,2026-03-25,299.3,履约中
4500000144,C100004,苏州汽配股份,NJG,2026-03-19,468.7,完成
4500000145,C100019,杭州西子电梯,HZH,2026-03-24,100.0,完成
4500000146,C100008,北京中科精密,BJG,2026-03-21,196.8,新建
4500000147,C100005,深圳华联电子,SZX,2026-03-10,10.8,履约中
4500000148,C100019,杭州西子电梯,HZH,2026-03-04,52.7,取消
4500000149,C100004,苏州汽配股份,NJG,2026-03-10,54.8,履约中
4500000150,C100010,唐山钢铁集团,TJN,2026-03-03,387.1,新建
4500000151,C100001,上海张江工业集团,NJG,2026-03-27,228.5,完成
4500000152,C100009,天津大港石化,TJN,2026-03-21,116.3,履约中
4500000153,C100017,长春一汽配件,DLN,2026-03-15,12.5,新建
4500000154,C100012,重庆长安实业,CDU,2026-03-18,178.7,履约中
4500000155,C100004,苏州汽配股份,NJG,2026-03-22,338.9,履约中
4500000156,C100006,广州白云重工,SZX,2026-03-14,389.9,新建
4500000157,C100013,西安西电变压器,XAN,2026-03-05,62.5,完成
4500000158,C100020,厦门金龙客车,GZH,2026-03-23,383.6,履约中
4500000159,C100018,青岛海尔智家,TJN,2026-03-11,319.6,完成
4500000160,C100010,唐山钢铁集团,TJN,2026-03-03,69.1,履约中
4500000161,C100001,上海张江工业集团,NJG,2026-03-13,93.7,完成
4500000162,C100008,北京中科精密,TJN,2026-03-02,151.0,履约中
4500000163,C100006,广州白云重工,SZX,2026-03-28,74.7,完成
4500000164,C100011,成都飞机工业,CDU,2026-03-02,118.3,新建
4500000165,C100005,深圳华联电子,XMN,2026-03-26,376.2,取消
4500000166,C100012,重庆长安实业,CQG,2026-03-11,273.2,完成
4500000167,C100001,上海张江工业集团,HZH,2026-03-08,59.3,履约中
4500000168,C100014,兰州石化机械,URM,2026-03-13,241.4,新建
4500000169,C100010,唐山钢铁集团,TJN,2026-03-17,213.0,完成
4500000170,C100010,唐山钢铁集团,TJN,2026-03-14,359.8,履约中
4500000171,C100011,成都飞机工业,CDU,2026-03-12,459.2,履约中
4500000172,C100009,天津大港石化,TJN,2026-03-16,345.4,取消
4500000173,C100006,广州白云重工,SZX,2026-03-17,36.8,新建
4500000174,C100017,长春一汽配件,DLN,2026-03-20,270.5,取消
4500000175,C100016,大连船舶重工,DLN,2026-03-24,218.6,取消
4500000176,C100019,杭州西子电梯,SHA,2026-03-26,401.9,取消
4500000177,C100007,佛山陶瓷集团,GZH,2026-03-15,318.5,完成
4500000178,C100001,上海张江工业集团,NJG,2026-03-07,36.3,新建
4500000179,C100006,广州白云重工,GZH,2026-03-14,192.6,完成
4500000180,C100011,成都飞机工业,CDU,2026-03-05,345.5,履约中
4500000181,C100018,青岛海尔智家,BJG,2026-04-13,498.2,履约中
4500000182,C100005,深圳华联电子,SZX,2026-04-27,475.4,完成
4500000183,C100013,西安西电变压器,XAN,2026-04-06,443.9,完成
4500000184,C100020,厦门金龙客车,GZH,2026-04-13,117.9,新建
4500000185,C100005,深圳华联电子,SZX,2026-04-02,338.1,完成
4500000186,C100005,深圳华联电子,XMN,2026-04-28,457.9,取消
4500000187,C100003,无锡新能科技,SHA,2026-04-13,254.4,完成
4500000188,C100001,上海张江工业集团,HZH,2026-04-09,28.9,完成
4500000189,C100013,西安西电变压器,URM,2026-04-21,212.1,完成
4500000190,C100016,大连船舶重工,DLN,2026-04-19,72.6,新建
4500000191,C100005,深圳华联电子,XMN,2026-04-06,67.0,完成
4500000192,C100002,宁波港务实业,NJG,2026-04-11,63.3,履约中
4500000193,C100005,深圳华联电子,SZX,2026-04-22,484.1,取消
4500000194,C100008,北京中科精密,BJG,2026-04-10,465.0,完成
4500000195,C100009,天津大港石化,TJN,2026-04-02,387.9,完成
4500000196,C100019,杭州西子电梯,SHA,2026-04-22,33.2,完成
4500000197,C100011,成都飞机工业,CDU,2026-04-15,193.8,履约中
4500000198,C100016,大连船舶重工,DLN,2026-04-02,462.4,完成
4500000199,C100020,厦门金龙客车,XMN,2026-04-21,464.7,完成
4500000200,C100010,唐山钢铁集团,TJN,2026-04-11,66.4,取消
4500000201,C100002,宁波港务实业,SHA,2026-04-25,360.2,履约中
4500000202,C100014,兰州石化机械,XAN,2026-04-27,388.9,完成
4500000203,C100003,无锡新能科技,SHA,2026-04-17,466.5,完成
4500000204,C100005,深圳华联电子,GZH,2026-04-07,17.6,履约中
4500000205,C100013,西安西电变压器,XAN,2026-04-17,288.4,完成
4500000206,C100017,长春一汽配件,SHY,2026-04-07,163.4,履约中
4500000207,C100015,沈阳重型机床,DLN,2026-04-05,32.3,完成
4500000208,C100008,北京中科精密,BJG,2026-04-20,136.2,新建
4500000209,C100020,厦门金龙客车,XMN,2026-04-03,473.2,履约中
4500000210,C100019,杭州西子电梯,SHA,2026-04-10,314.3,新建
4500000211,C100007,佛山陶瓷集团,GZH,2026-04-26,359.2,履约中
4500000212,C100014,兰州石化机械,XAN,2026-04-06,13.1,完成
4500000213,C100006,广州白云重工,XMN,2026-04-26,349.2,新建
4500000214,C100015,沈阳重型机床,SHY,2026-05-24,49.7,完成
4500000215,C100017,长春一汽配件,DLN,2026-05-07,12.9,完成
4500000216,C100005,深圳华联电子,XMN,2026-05-21,164.2,新建
4500000217,C100010,唐山钢铁集团,BJG,2026-05-03,69.1,履约中
4500000218,C100012,重庆长安实业,CQG,2026-05-22,157.2,履约中
4500000219,C100011,成都飞机工业,CDU,2026-05-05,294.1,取消
4500000220,C100019,杭州西子电梯,SHA,2026-05-27,118.6,履约中
4500000221,C100018,青岛海尔智家,TJN,2026-05-18,206.4,完成
4500000222,C100010,唐山钢铁集团,TJN,2026-05-09,33.3,履约中
4500000223,C100020,厦门金龙客车,GZH,2026-05-06,148.0,完成
4500000224,C100014,兰州石化机械,URM,2026-05-16,321.0,履约中
4500000225,C100009,天津大港石化,TJN,2026-05-10,475.4,完成
4500000226,C100015,沈阳重型机床,SHY,2026-05-15,82.4,履约中
4500000227,C100016,大连船舶重工,SHY,2026-05-28,75.3,履约中
4500000228,C100019,杭州西子电梯,SHA,2026-05-07,267.0,履约中
4500000229,C100018,青岛海尔智家,BJG,2026-05-20,486.6,新建
4500000230,C100019,杭州西子电梯,HZH,2026-05-24,204.1,完成
4500000231,C100016,大连船舶重工,DLN,2026-05-09,176.9,取消
4500000232,C100018,青岛海尔智家,TJN,2026-05-26,468.4,履约中
4500000233,C100005,深圳华联电子,SZX,2026-05-15,308.6,完成
4500000234,C100019,杭州西子电梯,HZH,2026-05-06,321.7,完成
4500000235,C100010,唐山钢铁集团,BJG,2026-05-17,210.7,取消
4500000236,C100010,唐山钢铁集团,TJN,2026-05-28,383.9,履约中
4500000237,C100020,厦门金龙客车,GZH,2026-05-12,237.4,履约中
4500000238,C100004,苏州汽配股份,HZH,2026-05-20,31.0,取消
4500000239,C100004,苏州汽配股份,SHA,2026-05-04,136.7,新建
4500000240,C100009,天津大港石化,BJG,2026-05-07,5.4,完成
4500000241,C100016,大连船舶重工,SHY,2026-05-05,330.6,完成
4500000242,C100013,西安西电变压器,URM,2026-05-09,497.5,履约中
4500000243,C100004,苏州汽配股份,SHA,2026-05-18,134.1,新建
4500000244,C100016,大连船舶重工,SHY,2026-05-27,73.1,完成
4500000245,C100009,天津大港石化,BJG,2026-05-28,125.7,完成
4500000246,C100011,成都飞机工业,CDU,2026-05-01,286.3,取消
4500000247,C100013,西安西电变压器,XAN,2026-05-15,133.5,取消
4500000248,C100015,沈阳重型机床,DLN,2026-05-26,331.2,完成
4500000249,C100018,青岛海尔智家,TJN,2026-05-27,264.1,履约中
4500000250,C100011,成都飞机工业,CDU,2026-05-15,364.8,完成
4500000251,C100012,重庆长安实业,CQG,2026-05-27,287.2,履约中
4500000252,C100002,宁波港务实业,NJG,2026-05-02,274.6,履约中
4500000253,C100013,西安西电变压器,URM,2026-05-19,116.8,履约中
4500000254,C100018,青岛海尔智家,TJN,2026-05-23,378.2,取消
4500000255,C100012,重庆长安实业,CDU,2026-05-19,435.6,履约中
4500000256,C100017,长春一汽配件,DLN,2026-05-01,144.9,完成
4500000257,C100007,佛山陶瓷集团,XMN,2026-05-24,295.5,新建
4500000258,C100002,宁波港务实业,HZH,2026-05-04,225.6,完成
4500000259,C100013,西安西电变压器,XAN,2026-05-11,6.8,完成
4500000260,C100008,北京中科精密,BJG,2026-05-27,116.5,完成
4500000261,C100007,佛山陶瓷集团,XMN,2026-05-01,56.8,履约中
4500000262,C100013,西安西电变压器,XAN,2026-05-11,368.6,新建
